Regione;Età;Totale Maschi;Totale Femmine
Trentino-Alto Adige/Südtirol;95;240;811
Trentino-Alto Adige/Südtirol;96;150;576
Trentino-Alto Adige/Südtirol;97;127;492
Trentino-Alto Adige/Südtirol;98;74;371
Trentino-Alto Adige/Südtirol;99;45;231
Trentino-Alto Adige/Südtirol;100;43;281
Trentino-Alto Adige/Südtirol;Totale;531999;546461
Veneto;0;17008;15727
Veneto;1;17201;16096
Veneto;2;18191;17201
Veneto;3;19039;17859
Veneto;4;19663;18448
Veneto;5;20114;19162
Veneto;6;20812;19879
Veneto;7;21357;20151
Veneto;8;22392;21195
Veneto;9;22758;21639
Veneto;10;23625;22181
Veneto;11;23969;22480
Veneto;12;24372;23026
Veneto;13;23998;22883
Veneto;14;24201;22789
Veneto;15;24169;22537
Veneto;16;24464;22927
Veneto;17;23930;22577
Veneto;18;23893;22178
Veneto;19;23929;22168
Veneto;20;24964;23213
Veneto;21;24563;22994
Veneto;22;25218;23048
Veneto;23;25210;23078
Veneto;24;24986;22877
Veneto;25;24796;22414
Veneto;26;24470;22897
Veneto;27;24259;23335
Veneto;28;25541;24039
Veneto;29;25173;24264
Veneto;30;25885;24555
Veneto;31;25383;24802
Veneto;32;25865;25537
Veneto;33;25194;24469
Veneto;34;25092;25044
Veneto;35;26344;26375
Veneto;36;26326;26449
Veneto;37;27243;26701
Veneto;38;27822;28219
Veneto;39;28651;28483
Veneto;40;29728;28952
Veneto;41;30728;30482
Veneto;42;32779;32616
Veneto;43;33805;34015
Veneto;44;35684;35272
Veneto;45;37560;36973
Veneto;46;39798;39459
Veneto;47;39578;39143
Veneto;48;40455;39419
Veneto;49;40559;40326
Veneto;50;40720;40139
Veneto;51;41772;41244
Veneto;52;41065;41053
Veneto;53;41418;41176
Veneto;54;41643;41593
Veneto;55;41636;41544
Veneto;56;41564;42272
Veneto;57;38997;39517
Veneto;58;37410;38011
Veneto;59;36406;37294
Veneto;60;34256;35272
Veneto;61;33995;34985
Veneto;62;31536;33039
Veneto;63;30888;32178
Veneto;64;29948;31829
Veneto;65;28664;30690
Veneto;66;28316;29954
Veneto;67;27257;28889
Veneto;68;26421;28541
Veneto;69;26099;27878
Veneto;70;26483;29440
Veneto;71;26133;28689
Veneto;72;26457;29658
Veneto;73;25450;28885
Veneto;74;27256;31056
Veneto;75;18082;21432
Veneto;76;20686;24431
Veneto;77;20390;24868
Veneto;78;19282;23946
Veneto;79;18722;23375
Veneto;80;18928;24464
Veneto;81;18058;23316
Veneto;82;16117;22361
Veneto;83;13849;19785
Veneto;84;11609;17979
Veneto;85;11020;17271
Veneto;86;9581;15918
Veneto;87;7785;13758
Veneto;88;6514;12931
Veneto;89;5480;11481
Veneto;90;4715;10724
Veneto;91;3476;8449
Veneto;92;2662;7460
Veneto;93;2062;6283
Veneto;94;1443;4779
Veneto;95;1037;3746
Veneto;96;690;2754
Veneto;97;504;2113
Veneto;98;295;1409
Veneto;99;188;940
Veneto;100;182;1210
Veneto;Totale;2377891;2474562
Friuli-Venezia Giulia;0;3780;3693
Friuli-Venezia Giulia;1;3857;3635
Friuli-Venezia Giulia;2;4014;3817
Friuli-Venezia Giulia;3;4214;4024
Friuli-Venezia Giulia;4;4468;4208
Friuli-Venezia Giulia;5;4459;4300
Friuli-Venezia Giulia;6;4807;4466
Friuli-Venezia Giulia;7;4879;4565
Friuli-Venezia Giulia;8;5040;4837
Friuli-Venezia Giulia;9;5275;4778
Friuli-Venezia Giulia;10;5358;5050
Friuli-Venezia Giulia;11;5391;5164
Friuli-Venezia Giulia;12;5450;5091
Friuli-Venezia Giulia;13;5454;5281
Friuli-Venezia Giulia;14;5434;5264
Friuli-Venezia Giulia;15;5476;5078
Friuli-Venezia Giulia;16;5381;5245
Friuli-Venezia Giulia;17;5501;5069
Friuli-Venezia Giulia;18;5390;5059
Friuli-Venezia Giulia;19;5613;5049
Friuli-Venezia Giulia;20;5694;5318
Friuli-Venezia Giulia;21;5580;5090
Friuli-Venezia Giulia;22;5695;5109
Friuli-Venezia Giulia;23;5596;5090
Friuli-Venezia Giulia;24;5810;5176
Friuli-Venezia Giulia;25;5618;5095
Friuli-Venezia Giulia;26;5582;5119
Friuli-Venezia Giulia;27;5707;5192
Friuli-Venezia Giulia;28;5981;5511
Friuli-Venezia Giulia;29;5970;5644
Friuli-Venezia Giulia;30;6107;5697
Friuli-Venezia Giulia;31;6026;5727
